municipality,name,iata_code,coordinates
Sinop,Sinop Airport,NOP,"42.018313, 35.071774"
Kahramanmaraş,Kahramanmaraş Airport,KCM,"37.5388259888, 36.9535217285"
Ağrı,Ağrı Airport,AJI,"39.655642, 43.025742"
Adıyaman,Adıyaman Airport,ADF,"37.7314, 38.468899"
Mardin,Mardin Airport,MQM,"37.223300933800004, 40.6316986084"
Şanlıurfa,Şanlıurfa GAP Airport,GNY,"37.445663, 38.895592"
Iğdır,Iğdır Airport,IGD,"39.976627, 43.876648"
Bingöl,Bingöl Airport,BGG,"38.860131, 40.594489"
Şırnak,Şırnak Şerafettin Elçi Airport,NKT,"37.3647, 42.0582"
Hakkari,Hakkari Yüksekova Airport,YKO,"37.5497, 44.2381"
Antakya,Hatay Airport,HTY,"36.36079, 36.285589"
Tarsus,Çukurova International Airport,COV,"36.891478, 35.071235"
Leitre,Leitre Airport,LTF,"-2.8337, 141.6257"
Selçuk,Selçuk Efes Airport,IZM,"37.950699, 27.329"
Isparta,Süleyman Demirel International Airport,ISE,"37.8554, 30.368401"
Edremit,Balıkesir Koca Seyit Airport,EDO,"39.552533, 27.010192"
Bodrum,Milas Bodrum International Airport,BJV,"37.249314, 27.66401"
Gazipaşa,Gazipaşa-Alanya Airport,GZP,"36.298832, 32.297017"
Samsun,Samsun-Çarşamba Airport,SZF,"41.253988, 36.567546"
"Pendik,Istanbul Sabiha Gökçen International Airport,LTFJ,,"40.898602, 29.3092"
Gökçeada,Gökçeada Airport,GKD,"40.204498, 25.883302"
Istanbul,İstanbul Airport,IST,"41.274874, 28.732136"
Rize,Rize–Artvin Airport,RZV,"41.179766, 40.848802"
Bălți,Bălți-Leadoveni International Airport,BZY,"47.837666, 27.781108"
Chişinău,Chişinău International Airport,RMO,"46.92774, 28.931704"
"""Jaunkalmes"",Lejasciems airfield, LV4412",,,"57.290981, 26.618413"
Lebak,Lebak Rural Airport,LWA,"6.6739, 124.0581"
Ohrid,Ohrid St. Paul the Apostle Airport,OHD,"41.18, 20.7423"
Ilinden,Skopje International Airport,SKP,"41.958087, 21.622581"
Gibraltar,Gibraltar Airport,GIB,"36.151679, -5.34978"
Brak,Brak Airport,BCQ,"27.653, 14.272"
Martuba,Martuba Air Base,DNF,"32.542, 22.745001"
Belgrade,Belgrade Nikola Tesla Airport,BEG,"44.818401, 20.309099"
Berane,Berane Airport,IVG,"42.8390007019043, 19.86199951171875"
Zemun,Batajnica Air Base,BJY,"44.935299, 20.2575"
Kraljevo,Morava Airport,KVO,"43.817519, 20.586662"
Niš,Niš Constantine the Great Airport,INI,"43.336538, 21.856242"
Podgorica,Podgorica Airport / Podgorica Golubovci Airbase,TGD,"42.359402, 19.2519"
Tivat,Tivat Airport,TIV,"42.404701, 18.723301"
Stapari,Ponikve Airport,UZC,"43.898899, 19.697701"
Nanchong (Langzhong),Langzhong Gucheng Airport,LZG,"31.50191, 106.034417"
Bratislava,M. R. Štefánik Airport,BTS,"48.1702, 17.2127"
Košice,Košice International Airport,KSC,"48.663101, 21.2411"
Lučenec,Lučenec Airfield,LUE,"48.339401, 19.7358"
Piešťany,Piešťany Airport,PZY,"48.62519836425781, 17.828399658203125"
Prešov,Prešov Air Base,POV,"49.02970123291, 21.315599441528"
Sliač,Sliač Airport,SLD,"48.63779830932617, 19.13409996032715"
Poprad,Poprad-Tatry Airport,TAT,"49.070994, 20.241394"
Dolný Hričov,Žilina-Dolný Hričov Airport,ILZ,"49.233292, 18.613386"
Drummond,Drummond Airport,DRU,"46.621599, -113.201751"
Guelmim,Guelmim Airport,GLN,"29.026699, -10.0503"
Ware,Ware Airport,UWA,"42.282001495361, -72.214797973633"
Mamai,Mamai Airport,MAP,"-10.290833, 149.519167"
Cockburn Town,JAGS McCartney International Airport,GDT,"21.4445, -71.142303"
Middle Caicos,Middle Caicos Airport,MDS,"21.82602, -71.8025"
North Caicos,North Caicos Airport,NCA,"21.916094, -71.942954"
Pine Cay,Pine Cay Airport,PIC,"21.874661, -72.090573"
Providenciales,Providenciales International Airport,PLS,"21.773697, -72.268321"
South Caicos,South Caicos Airport,XSC,"21.515699, -71.528503"
Salt Cay,Salt Cay Airport,SLX,"21.333000183099998, -71.1999969482"
Barahona,Maria Montez International Airport,BRX,"18.25149917602539, -71.12039947509766"
Cabo Rojo,Cabo Rojo Airport,CBJ,"17.929000854492188, -71.6447982788086"
Samana,Samaná El Catey International Airport,AZS,"19.269259, -69.737405"
Costanza,Constanza - Expedición 14 de Junio National Airport,COZ,"18.907499, -70.721901"
La Isabela,La Isabela International Airport,JBQ,"18.572500228881836, -69.98560333251953"
La Romana,Casa De Campo International Airport,LRM,"18.452222, -68.911111"
Punta Cana,Punta Cana International Airport,PUJ,"18.567093, -68.364558"
Puerto Plata,Gregorio Luperon International Airport,POP,"19.7579, -70.57"
Santo Domingo,Las Américas International Airport,SDQ,"18.42970085144, -69.668899536133"
Santiago,Cibao International Airport,STI,"19.40406, -70.604431"
Limestone,Loring International Airport,LIZ,"46.950401, -67.885902"
Melfi,Melfi Airport,MEF,"11.060192, 17.944495"
Ankokoambo,Ankokoambo Airport,NKO,"-16.594919, 44.453654"
Isalo,Relais de la Reine Airport,RLR,"-22.645343, 45.323914"
Doany,Doany Airport,DOA,"-14.3681001663208, 49.510799407958984"
Coban,Coban Airport,CBV,"15.469, -90.4067"
Carmelita,Carmelita Airport,CMM,"17.461201, -90.053703"
Coatepeque,Coatepeque Airport,CTF,"14.6942, -91.8825"
Guatemala City,La Aurora International Airport,GUA,"14.582896, -90.527515"
Huehuetenango,Huehuetenango Airport,HUG,"15.316667, -91.505556"
Matagorda Island,National Wildlife Refuge Airport,MGI,"28.323, -96.464"
Manga Mission,Manga Airport,MGP,"-4.147, 153.0186"
Puerto Barrios,Puerto Barrios Airport,PBR,"15.7309, -88.583801"
Playa Grande,Playa Grande Airport,PKJ,"15.9975, -90.741699"
Poptún,Poptún Airport,PON,"16.325799942017, -89.41609954834"
Santa Cruz del Quiché,Quiché Airport,AQB,"15.0122, -91.150597"
Quezaltenango,Quezaltenango Airport,AAZ,"14.8656, -91.501999"
Rubelsanto,Rubelsanto Airport,RUV,"15.992, -90.445297"
Rio Dulce,Las Vegas Airport,LCF,"15.668363, -88.961763"
Retalhuleu,Retalhuleu Airport,RER,"14.521431, -91.697001"
Puerto San José,San José Airport,GSJ,"13.9362, -90.8358"
San Benito,Mundo Maya International Airport,FRS,"16.913707, -89.866143"
Ujae Atoll,Ujae Atoll Airport,UJE,"8.92806, 165.761993"
Ailuk Island,Ailuk Airport,AIM,"10.2168, 169.983002"
Aur Atoll,Aur Island Airport,AUL,"8.14528, 171.173004"
Bikini Atoll,Bikini Atoll Airport,BII,"11.522499, 165.565127"
Ebadon Island,Ebadon Airport,EBN,"9.330559730529785, 166.82000732421875"
Ailinglapalap Atoll,Jabot Airport,JAT,"7.749775, 168.977838"
Ailinglapalap Atoll,Jeh Airport,JEJ,"7.565350055690001, 168.962005615"
Likiep Island,Likiep Airport,LIK,"9.82316, 169.307999"
Lae Island,Lae Island Airport,LML,"8.92111, 166.264999"
Maloelap Island,Maloelap Island Airport,MAV,"8.70444, 171.229996"
Mejit Atoll,Mejit Atoll Airport,MJB,"10.283302, 170.869"
Majkin,Majkin Airport,MJE,"8.163362, 168.173862"
Namorik Atoll,Namorik Airport,NDK,"5.633005, 168.125631"
Rongelap Island,Rongelap Island Airport,RNP,"11.1572, 166.886993"
Arno Atoll,Tinak Airport,TIC,"7.121768, 171.911584"
Jabor Jaluit Atoll,Jaluit Airport,UIT,"5.909213, 169.637256"
Woja,Woja Airport,WJA,"7.450833, 168.55"
Wotje,Wotje Airport,WTE,"9.458333, 170.238611"
Wotho Island,Wotho Island Airport,WTO,"10.1733, 166.003006"
Ahuas,Ahuas Airport,AHS,"15.4722, -84.352203"
Brus Laguna,Brus Laguna Airport,BHG,"15.7631, -84.543602"
La Unión,Carta Airport,LUI,"15.033192, -86.692334"
Coyoles,Coyoles Airport,CYL,"15.445556, -86.675278"
Cauquira,Cauquira Airport,CDD,"15.316667, -83.591667"
Olanchito,El Arrayán Airport,OAN,"15.505556, -86.574722"
El Aguacate,El Aguacate Airport,CAA,"14.875, -85.776108"
Gracias,Celaque Gracias Airport,GAC,"14.573492, -88.595801"
Iriona,Iriona Airport,IRN,"15.939167022700001, -85.13722229"
Jutigalpa,Jutigalpa airport,JUT,"14.652600288391113, -86.22029876708984"
La Ceiba,Golosón International Airport,LCE,"15.7425, -86.852997"
La Esperanza,La Esperanza Airport,LEZ,"14.291111, -88.175003"
San Pedro Sula,Ramón Villeda Morales International Airport,SAP,"15.4526, -87.923599"
Limón,Limon Airport,LMH,"15.856066, -85.443978"
Mullen,Hooker County Airport,MHN,"42.042155, -101.059113"
Guanaja,La Laguna Airport,GJA,"16.4454, -85.906601"
Palacios,Palacios Airport,PCH,"15.955, -84.941391"
Puerto Lempira,Puerto Lempira Airport,PEU,"15.2622, -83.781197"
Coxen Hole,Juan Manuel Gálvez International Airport,RTB,"16.316799, -86.523003"
Copán Ruinas,Rioamarillo Airport,RUY,"14.914885, -89.007837"
Palmerola,Palmerola International Airport,XPL,"14.3824, -87.621201"
Tela,Tela Airport,TEA,"15.7759, -87.4758"
Tegucigalpa,Toncontín Airport,TGU,"14.0609, -87.217201"
Trujillo,Trujillo Airport,TJI,"15.926599, -85.938573"
Tocoa,Tocoa Airport,TCF,"15.659722, -85.994164"
Sulaco,Sulaco Airport,SCD,"14.90719985961914, -87.26339721679688"
Utila Island,Utila Airport,UII,"16.1131, -86.880302"
Yoro,Yoro Airport,ORO,"15.1275, -87.135"
Mainoru,Mainoru Airstrip,MIZ,"-14.0533, 134.0942"
Moki,Moki Airport,MJJ,"-5.7181, 145.2404"
Maganja,Maganja da Costa Airport,MJS,"-17.3087, 37.5"
Boscobel,Ian Fleming International Airport,OCJ,"18.404079, -76.969754"
Kingston,Norman Manley International Airport,KIN,"17.935699462890625, -76.7874984741211"
Montego Bay,Sangster International Airport,MBJ,"18.50342, -77.91323"
Ken Jones,Ken Jones Airport,POT,"18.1987991333, -76.53450012210001"
Negril,Negril Airport,NEG,"18.341712, -78.334164"
Tinson Pen,Tinson Pen Airport,KTP,"17.98859977722168, -76.82379913330078"
Mili Island,Mili Island Airport,MIJ,"6.084754, 171.731419"
Hinthada,Hinthada Airport,HEB,"17.633329391500002, 95.4666976929"
Tizimin,Aeródromo de Cupul,TZM,"21.155716, -88.172918"
Acapulco,General Juan N. Álvarez International Airport,ACA,"16.757126, -99.753113"
Monterrey,Del Norte International Airport,NTR,"25.865601, -100.237"
Aguascalientes,Aguascalientes International Airport,AGU,"21.699589, -102.318372"
Huatulco,Bahías de Huatulco International Airport,HUX,"15.775437, -96.260456"
Cananea,Cananea National Airport,CNA,"31.06615, -110.097878"
Temixco,General Mariano Matamoros International Airport,CVJ,"18.833922, -99.261818"
Ciudad Acuña,Ciudad Acuña International Airport,ACN,"29.333662, -101.100555"
Ciudad del Carmen,Ciudad del Carmen International Airport,CME,"18.651516, -91.799355"
Nuevo Casas Grandes,Aeropuerto Municipal de Nuevo Casas Grandes,NCG,"30.3974, -107.875"
Culiacán,Bachigualato Federal International Airport,CUL,"24.76504, -107.475228"
Chetumal,Chetumal International Airport,CTM,"18.504985, -88.328018"
Ciudad Obregón,Ciudad Obregón International Airport,CEN,"27.39259910583496, -109.83300018310547"
Comitán,San Antonio Copalar Airport,CJT,"16.176701, -92.050598"
Campeche,Ingeniero Alberto Acuña Ongay International Airport,CPE,"19.815969, -90.500125"
Ciudad Juárez,Abraham González International Airport,CJS,"31.636673, -106.428533"
Tinúm,Chichén Itzá International Airport,CZA,"20.6413, -88.446198"
Chihuahua,General Roberto Fierro Villalobos International Airport,CUU,"28.702649, -105.963764"
Ciudad Victoria,General Pedro Jose Mendez International Airport,CVM,"23.7033, -98.956497"
Celaya,Captain Rogelio Castillo National Airport,CYW,"20.545998, -100.886539"
Cozumel,Cozumel International Airport,CZM,"20.514922, -86.928538"
Comondú,Ciudad Constitución National Airport,CUA,"25.053801, -111.614998"
Ciudad Mante,Ciudad Mante Los Huastecas National Airport,MMC,"22.738957, -99.018516"
Durango,General Guadalupe Victoria International Airport,DGO,"24.125468, -104.527938"
Tepic,Amado Nervo National Airport,TPQ,"21.419833, -104.842472"
Ensenada,Ensenada International Airport / El Ciprés Air Base,ESE,"31.794516, -116.602384"
Guadalajara,Guadalajara International Airport,GDL,"20.523342, -103.310108"
Guaymas,General José María Yáñez International Airport,GYM,"27.9689998626709, -110.92500305175781"
San Quintín,Guerrero Negro Airport,GUB,"28.0261, -114.024002"
Tehuacán,Tehuacán National Airport,TCN,"18.49722, -97.42011"
Hermosillo,General Ignacio L. Pesqueira International Airport,HMO,"29.092811, -111.053015"
Colima,Licenciado Miguel de la Madrid International Airport,CLQ,"19.277, -103.577002"
Isla Mujeres,Isla Mujeres National Airport,ISJ,"21.245962, -86.740365"
Saltillo,Plan de Guadalupe International Airport,SLW,"25.53786, -100.928346"
Ixtepec,General Antonio Cárdenas Rodríguez National Airport / Ixtepec Air Base,IZT,"16.445961, -95.093708"
Emiliano Zapata,El Lencero Airport,JAL,"19.475107, -96.797008"
Atizapán de Zaragoza,Jorge Jiménez Cantú National Airport,AZP,"19.574155, -99.291183"
Lázaro Cárdenas,Lázaro Cárdenas Airport,LZC,"18.001672, -102.220316"
Los Mochis,Valle del Fuerte International Airport,LMM,"25.685503, -109.081159"
Silao,Guanajuato International Airport,BJX,"20.992695, -101.480284"
La Paz,Manuel Márquez de León International Airport,LAP,"24.072331, -110.362662"
Loreto,Loreto International Airport,LTO,"25.989549, -111.348408"
Matamoros,General Servando Canales International Airport,MAM,"25.7698993683, -97.5252990723"
Mérida,Manuel Crescencio Rejón International Airport,MID,"20.930485, -89.645462"
Mulege,Mulege Airport,MUG,"26.905347, -111.970725"
Mexicali,General Rodolfo Sánchez Taboada International Airport,MXL,"32.630629, -115.242805"
Morelia,General Francisco J. Mujica International Airport,MLM,"19.849899, -101.025002"
Cosoleacaque,Minatitlán/Coatzacoalcos International Airport,MTT,"18.103399, -94.580704"
Monclova,Monclova International Airport,LOV,"26.9557, -101.470001"
Mexico City,Mexico City Benito Juárez International Airport,MEX,"19.435822, -99.07033"
Monterrey,Monterrey International Airport,MTY,"25.778521, -100.106989"
Mazatlàn,General Rafael Buelna International Airport,MZT,"23.162823, -106.264517"
Nogales,Nogales International Airport,NOG,"31.225756, -110.976934"
Nuevo Laredo,Quetzalcóatl International Airport,NLD,"27.443899, -99.570503"
Oaxaca,Xoxocotlán International Airport,OAX,"16.998773, -96.726092"
Poza Rica,El Tajín National Airport,PAZ,"20.6026992798, -97.46080017090001"
Puebla,Hermanos Serdán International Airport,PBC,"19.158465, -98.371582"
Puerto Peñasco,Mar de Cortés International Airport,PPE,"31.351987, -113.305177"
Piedras Negras,Piedras Negras International Airport,PDS,"28.627873, -100.53524"
La Ribera,Punta Colorada Airport,PCO,"23.575011, -109.535826"
Uruapan,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,UPN,"19.3967, -102.039001"
Palenque,Palenque International Airport,PQM,"17.533153, -92.015484"
Puerto Vallarta,Puerto Vallarta International Airport,PVR,"20.679913, -105.254391"
Puerto Escondido,Puerto Escondido International Airport,PXM,"15.876808, -97.0891"
Querétaro,Querétaro Intercontinental Airport,QRO,"20.618779, -100.186449"
Reynosa,General Lucio Blanco International Airport,REX,"26.0089, -98.2285"
San José del Cabo,Los Cabos International Airport,SJD,"23.151919, -109.720731"
Mexicali,San Felipe International Airport,SFH,"30.93006, -114.808459"
Cabo San Lucas,Cabo San Lucas International Airport,CSW,"22.949072, -109.939479"
Mexico City,Felipe Ángeles International Airport,NLU,"19.743824, -99.01507"
San Luis Potosí,Ponciano Arriaga International Airport,SLP,"22.262026, -100.935692"
Salina Cruz,Estación Aeronaval de Salina Cruz,SCX,"16.212601, -95.201599"
Torreón,Francisco Sarabia Tinoco International Airport,TRC,"25.562265, -103.404608"
Tuxtla Gutiérrez,Angel Albino Corzo International Airport,TGZ,"16.561611, -93.025731"
Tijuana,General Abelardo L. Rodriguez International Airport,TIJ,"32.541043, -116.969976"
Tulum,Felipe Carrillo Puerto International Airport Tulum,TQO,"20.172098, -87.660272"
Ciudad Madero,General Francisco Javier Mina International Airport,TAM,"22.292622, -97.867058"
Tamuín,Tamuín National Airport,TSL,"22.0383, -98.806502"
Toluca,Adolfo López Mateos International Airport,TLC,"19.3369, -99.56583"
Tapachula,Tapachula International Airport,TAP,"14.794549, -92.369871"
Tulum,Base Aeronaval de Tulum,TUY,"20.227301, -87.438203"
Cancún,Cancún International Airport,CUN,"21.040817, -86.87347"
Mal Island,Mal Airport,MMV,"-1.39139, 144.17131"
Villahermosa,Carlos Rovirosa Pérez International Airport,VSA,"17.994283, -92.818199"
Veracruz,General Heriberto Jara International Airport,VER,"19.139589, -96.188602"
Zacatecas,General Leobardo C. Ruiz International Airport,ZCL,"22.894942, -102.687154"
Ixtapa,Ixtapa-Zihuatanejo International Airport,ZIH,"17.601771, -101.460629"
Zamora,Zamora Airport,ZMM,"20.045, -102.276001"
Manzanillo,Playa de Oro International Airport,ZLO,"19.1448, -104.558998"
Bluefields,Bluefields Airport,BEF,"11.991, -83.774101"
Bonanza,San Pedro Airport,BZA,"14.031524, -84.624311"
Tola,Costa Esmeralda Airport,ECI,"11.427542, -86.033361"
Corn Island,Corn Island Airport,RNI,"12.174785, -83.059445"
Managua,Augusto C. Sandino (Managua) International Airport,MGA,"12.1415, -86.168198"
Hermit Islands,Maron Island Airport,MNP,"-1.550403, 145.017504"
Puerto Cabezas,Puerto Cabezas Airport,PUZ,"14.047200202941895, -83.38670349121094"
La Rosita,Rosita Airport,RFS,"13.889699935913086, -84.40889739990234"
San Carlos,San Carlos Airport,NCR,"11.13556, -84.768727"
Siuna,Siuna,SIU,"13.727222, -84.777779"
Waspam,Waspam Airport,WSP,"14.7392, -83.969398"
Morowali,Maleo Airport,MOH,"-2.201143, 121.662884"
Elim,Moses Point Airport,MOS,"64.694116, -162.060699"
Isla Colón,"Bocas del Toro ""Isla Colón"" International Airport",BOC,"9.34085, -82.250801"
Chitré,Alonso Valderrama Airport,CTD,"7.98784, -80.409837"
Changuinola,Changuinola Captain Manuel Niño International Airport,CHX,"9.458962, -82.515062"
David,Enrique Malek International Airport,DAV,"8.388983, -82.436425"
Colón,Enrique Adolfo Jimenez Airport,ONX,"9.35664, -79.867401"
Panamá City,Panamá Pacífico International Airport,BLB,"8.91479, -79.599602"
Mamitupu,Mamitupu Airport,MPI,"9.1851, -77.9841"
Jaqué,Jaqué Airport,JQE,"7.51778, -78.157204"
Albrook,Marcos A. Gelabert International Airport,PAC,"8.97334, -79.555603"
Puerto Obaldía,Puerto Obaldía Airport,PUE,"8.668813, -77.417399"
Pedasí,Capt. J. Montenegro Airport,PDM,"7.534801, -80.043347"
Santiago,Ruben Cantu Airport,SYP,"8.085599899291992, -80.94529724121094"
Río Hato,Scarlett Martinez International Airport,RIH,"8.375880241394, -80.127899169922"
Tocumen,Tocumen International Airport,PTY,"9.07136, -79.383499"
San Blas,Wannukandi Airport,NBL,"9.273476, -78.139848"
La Fortuna,La Fortuna Arenal Airport,FON,"10.469311, -84.579073"
Punta Arenas,Buenos Aires Airport,BAI,"9.163949, -83.330171"
Pococi,Barra del Colorado Airport,BCL,"10.7687, -83.585602"
Tortuguero,Barra del Tortuguero,TTQ,"10.569, -83.5149"
Corredores,Coto 47 Airport,OTR,"8.60156, -82.968754"
Puntarenas,Chacarita Airport,JAP,"9.98141, -84.772697"
Carrillo,Playa Samara/Carrillo Airport,PLD,"9.87051, -85.4814"
Puntarenas,Drake Bay Airport,DRK,"8.71889019012, -83.6417007446"
Brasilito,Flamingo Airport,FMG,"10.418600082397461, -85.78269958496094"
Golfito,Golfito Airport,GLF,"8.65401, -83.182198"
Pococi,Guapiles Airport,GPL,"10.2172002792, -83.79699707030001"
Nandayure,Islita Airport,PBP,"9.85611, -85.370796"
Liberia,Daniel Oduber Quirós International Airport,LIR,"10.5933, -85.544403"
Los Chiles,Los Chiles Airport,LSL,"11.0353, -84.7061"
Limón,Limón International Airport,LIO,"9.95796, -83.022003"
Cañas,Mojica Airport,CSC,"10.4307003021, -85.17459869380001"
Nicoya/Guanacate,Guanacaste Airport,NCT,"10.1394, -85.445801"
Nicoya,Nosara Airport,NOB,"9.976490020750001, -85.65299987790002"
San José (Alajuela),Juan Santamaría International Airport,SJO,"9.99386, -84.208801"
Puerto Jimenez,Puerto Jimenez Airport,PJM,"8.533329963684082, -83.30000305175781"
Palmar Sur,Palmar Sur Airport,PMZ,"8.95103, -83.468597"
San Jose,Tobías Bolaños International Airport,SYQ,"9.95705, -84.139801"
Quepos,Quepos Managua Airport,XQP,"9.44316, -84.129799"
Rio Frio / Progreso,Rio Frio / Progreso Airport,RFR,"10.327400207519531, -83.88760375976562"
Pérez Zeledón,San Isidro del General Airport,IPZ,"9.348676, -83.712301"
Coto Brus,San Vito de Java Airport,TOO,"8.826971, -82.958922"
Moroak,Moroak Airport,MRT,"-14.818133, 133.700594"
Tamarindo,Tamarindo Airport,TNO,"10.313500404358, -85.815498352051"
Nicoya,Tambor Airport,TMU,"9.739307, -85.016199"
Upala,Upala Airport,UPL,"10.8922, -85.016197"
Saint Martin,Marigot Seaplane Base,MSB,"18.0696, -63.087"
San Salvador (San Luis Talpa),El Salvador International Airport Saint Óscar Arnulfo Romero y Galdámez,SAL,"13.44447, -89.055784"
San Salvador,Ilopango International Airport,ILS,"13.6995, -89.119904"
Comino,Comino Heliport,JCO,"36.01007, 14.347306"
Les Cayes,Antoine-Simon International Airport,CYA,"18.271099, -73.7883"
Cap Haitien,Cap Haitien International Airport,CAP,"19.725547, -72.20071"
Fairbanks,Metro Field,MTX,"64.80680084229999, -147.761993408"
Jacmel,Jacmel Airport,JAK,"18.2411, -72.518501"
Carrefour Sanon,Jérémie Airport,JEE,"18.663099, -74.170303"
Port-au-Prince,Toussaint Louverture International Airport,PAP,"18.580023, -72.292596"
Port-de-Paix,Port-de-Paix Airport,PAX,"19.934045, -72.84801"
Montepuez,Montepuez Airport,MTU,"-13.121899604797363, 39.052799224853516"
Vingt Cinq,Agalega Island Airstrip,AHG,"-10.3731, 56.609798"
Baracoa,Gustavo Rizo Airport,BCA,"20.365299224853516, -74.5062026977539"
Cayo Santa Maria,Las Brujas Airport,BWW,"22.6213, -79.147202"
Bayamo,Carlos Manuel de Cespedes Airport,BYM,"20.3964, -76.621399"
Ciro Redondo,Máximo Gómez Airport,AVI,"22.0271, -78.789597"
Cayo Coco,Jardines Del Rey Airport,CCC,"22.461000442499998, -78.32839965820001"
Cienfuegos,Jaime Gonzalez Airport,CFG,"22.149999618530273, -80.41419982910156"
Cayo Largo del Sur,Vilo Acuña International Airport,CYO,"21.6165008545, -81.5459976196"
Camaguey,Ignacio Agramonte International Airport,CMW,"21.419909, -77.848039"
Santiago,Antonio Maceo International Airport,SCU,"19.97474, -75.835504"
Guantanamo Bay Naval Station,Leeward Point Field,NBW,"19.9065, -75.2071"
Guantánamo,Mariana Grajales Airport,GAO,"20.0853, -75.158302"
Havana,José Martí International Airport,HAV,"22.989200592041016, -82.40910339355469"
Holguin,Frank Pais International Airport,HOG,"20.785148, -76.315526"
Santa Marta,Kawama Airport,VRO,"23.124001, -81.301598"
Maisí,Alfredo Noa Díaz Airport,UMA,"20.242374, -74.148268"
Mayajigua,Mayajigua Airport,MJG,"22.23080062866211, -79.06220245361328"
Moa,Orestes Acosta Airport,MOA,"20.653900146484375, -74.92220306396484"
Manzanillo,Sierra Maestra International Airport,MZO,"20.288605, -77.087545"
Nueva Gerona,Rafael Cabrera Airport,GER,"21.834699630737305, -82.78379821777344"
Havana,Playa Baracoa Airport,UPB,"23.032801, -82.579399"
Santa Clara,Abel Santamaria International Airport,SNU,"22.492215, -79.943119"
Sandino,San Julián Air Base,SNJ,"22.100525, -84.157376"
Isla de la Juventud,Siguanea Airport,SZJ,"21.6425, -82.955101"
Sancti Spiritus,Sancti Spiritus Airport,USS,"21.9704, -79.442703"
Trinidad,Alberto Delgado Airport,TND,"21.7883, -79.9972"
Matanzas,Juan Gualberto Gomez International Airport,VRA,"23.034401, -81.435303"
Las Tunas,Hermanos Ameijeiras Airport,VTU,"20.9876, -76.935799"
Faresmaathodaa,Faresmaathoda Airport,FMT,"0.192647, 73.196755"
Muli,Muli Airport,MUM,"2.911389, 73.583611"
West End,Charles Kirkconnell International Airport,CYB,"19.687, -79.882797"
Blossom Village,Edward Bodden Little Cayman Airfield,LYB,"19.660161, -80.088826"
George Town,Owen Roberts International Airport,GCM,"19.292801, -81.357697"
Motswari Private Game Reserve,Motswari Airport,MWR,"-24.1903, 31.3864"
Mussau Island,Mussau Airport,MWU,"-1.45, 149.7"
Mulegé,Punta Abreojos Airport,AJS,"26.7272, -113.558998"
Apatzingán,Apatzingán - Pablo L. Sidar Airport,AZG,"19.093399, -102.393997"
Playa del Carmen,Playa del Carmen National Airport,PCM,"20.622752, -87.082171"
Mulegé,Punta Chivato Airport,PCV,"27.069201, -111.961998"
Mulegé,San Ignacio Airport,SGM,"27.296473, -112.938809"
San Luis Río Colorado,San Luis Río Colorado Airport,UAC,"32.445301, -114.797997"
Álamos,Álamos Airport,XAL,"27.039, -108.949021"
Monticello,Monticello Airport,MXC,"37.93243, -109.341225"
Sungai Tekai,Sungai Tekai Airport,GTK,"2.64118, 102.89297"
Long Banga,Long Banga Airport,LBP,"3.202138, 115.401811"
Sipitang,Sipitang Airport,SPT,"5.0833330154418945, 115.55000305175781"
Mangrove Cay,Clarence A. Bain Airport,MAY,"24.287701, -77.684601"
Andros Town,Andros Town Airport,ASD,"24.697901, -77.795601"
Andros,Congo Town Airport,TZN,"24.158701, -77.589798"
Marsh Harbour,Leonard M. Thompson International Airport,MHH,"26.510711, -77.084262"
Andros Island,San Andros Airport,SAQ,"25.053800582885742, -78.04900360107422"
Spring Point,Spring Point Airport,AXP,"22.441799, -73.970901"
Treasure Cay,Treasure Cay Airport,TCB,"26.745300293, -77.3912963867"
Walkers Cay,Walkers Cay Airport,WKR,"27.259656, -78.400455"
Chub Cay,Chub Cay Airport,CCZ,"25.417101, -77.880898"
Bullocks Harbour,Great Harbour Cay Airport,GHC,"25.7383, -77.840103"
South Bimini,South Bimini Airport,BIM,"25.6998996735, -79.2647018433"
Arthur's Town,Arthur's Town Airport,ATC,"24.6294, -75.673797"
Cat Island,New Bight Airport,TBI,"24.3153, -75.452301"
North Cat Cay,Cat Cay Airport,CXY,"25.554425, -79.275404"
Colonel Hill,Colonel Hill Airport,CRI,"22.7456, -74.182404"
Pitts Town,Pitts Town Airport,PWN,"22.8297, -74.3461"
Moss Town,Exuma International Airport,GGT,"23.562599, -75.877998"
North Eleuthera,North Eleuthera Airport,ELH,"25.475823, -76.680784"
Governor's Harbour,Governor's Harbour Airport,GHB,"25.2847, -76.331001"
Normans Cay,Normans Cay Airport,NMC,"24.594299, -76.820198"
Rock Sound,Rock Sound International Airport,RSD,"24.89165, -76.177602"
Staniel Cay,Staniel Cay Airport,TYM,"24.1691, -76.439102"
Freeport,Grand Bahama International Airport,FPO,"26.557996, -78.695583"
West End,West End Airport,WTD,"26.685301, -78.974998"
Matthew Town,Inagua Airport,IGA,"20.975, -73.666901"
May Creek,May Creek Airport,MYK,"61.335701, -142.686996"
Deadman's Cay,Deadman's Cay Airport,LGI,"23.1790008545, -75.09359741210001"
Stella Maris,Stella Maris Airport,SML,"23.582317, -75.268621"
Abraham Bay Settlement,Mayaguana Airport,MYG,"22.379499, -73.013494"
Nassau,Lynden Pindling International Airport,NAS,"25.039, -77.466202"
